Date,PriceUSD,MarketCapUSD,VolumeUSD
05/01/2025,98256.73877,1.95E+12,20979035421
06/01/2025,98364.58947,1.95E+12,20060293835
07/01/2025,102229.3945,2.02E+12,46111387334
08/01/2025,96952.09887,1.92E+12,60610257147
09/01/2025,95016.71441,1.89E+12,65790469838
10/01/2025,92376.27578,1.83E+12,65850881575
11/01/2025,94736.62674,1.88E+12,63433655717
12/01/2025,94559.55167,1.87E+12,17836423168
13/01/2025,94454.7709,1.87E+12,19608932596
14/01/2025,94456.34937,1.87E+12,76328330233
15/01/2025,96574.07769,1.91E+12,51241728229
16/01/2025,100313.1524,1.99E+12,57637319740
17/01/2025,100044.5793,1.98E+12,50150102497
18/01/2025,104160.6936,2.06E+12,69135117732
19/01/2025,104334.6158,2.07E+12,49416447749
20/01/2025,101275.3371,2.01E+12,72970313684
21/01/2025,101764.9086,2.02E+12,1.20E+11
22/01/2025,106182.2368,2.10E+12,95344290058
23/01/2025,103673.5351,2.05E+12,55030669603
24/01/2025,104067.6099,2.06E+12,1.02E+11
25/01/2025,104835.1925,2.08E+12,51418786363
26/01/2025,104796.0408,2.08E+12,22740744965
27/01/2025,102552.2487,2.04E+12,20639818380
28/01/2025,101958.4695,2.02E+12,93191643783
29/01/2025,101313.1126,2.01E+12,45780526814
30/01/2025,103718.9794,2.06E+12,47425401642
31/01/2025,104781.5135,2.08E+12,42122570869
01/02/2025,102382.3941,2.03E+12,37187819228
02/02/2025,100674.7876,2.00E+12,22827776122
03/02/2025,97568.31653,1.93E+12,59784234332
04/02/2025,101466.8607,2.01E+12,1.22E+11
05/02/2025,98118.43922,1.94E+12,73196693058
06/02/2025,96582.88683,1.91E+12,48848958932
07/02/2025,96635.41875,1.92E+12,44462180396
08/02/2025,96558.45631,1.91E+12,57077722340
09/02/2025,96558.23763,1.91E+12,20760850645
10/02/2025,96548.57865,1.91E+12,25457107581
11/02/2025,97399.98161,1.93E+12,37054987394
12/02/2025,95739.97737,1.90E+12,36454577155
13/02/2025,97836.18856,1.94E+12,47115618235
14/02/2025,96561.664,1.91E+12,29084371911
15/02/2025,97488.48149,1.93E+12,32289906945
16/02/2025,97569.95169,1.93E+12,14215311318
17/02/2025,96149.34845,1.91E+12,13634794999
18/02/2025,95776.15724,1.90E+12,25324374113
19/02/2025,95495.89153,1.89E+12,38311133145
20/02/2025,96554.87156,1.91E+12,27703222487
21/02/2025,98384.31738,1.95E+12,24175261970
22/02/2025,96135.15541,1.91E+12,42477472951
23/02/2025,96564.15414,1.92E+12,18464415571
24/02/2025,96327.46309,1.91E+12,16643044375
25/02/2025,91396.76687,1.81E+12,45539703844
26/02/2025,88755.76934,1.76E+12,96742453403
27/02/2025,83900.11497,1.66E+12,69277430796
28/02/2025,84709.14478,1.68E+12,81960688218
01/03/2025,84441.90122,1.67E+12,80695237175
02/03/2025,86005.2563,1.71E+12,30634474723
03/03/2025,94261.53287,1.87E+12,61859112551
04/03/2025,86124.71419,1.71E+12,68715362745
05/03/2025,87310.80531,1.73E+12,65863356680
06/03/2025,90604.08099,1.80E+12,51606642860
07/03/2025,90001.40088,1.78E+12,47555759125
08/03/2025,86773.33598,1.72E+12,63216440875
09/03/2025,86142.98336,1.71E+12,18809360803
10/03/2025,80751.13893,1.60E+12,32013406241
11/03/2025,78783.94058,1.56E+12,49983692766
12/03/2025,82799.10803,1.64E+12,56404462275
13/03/2025,83884.24579,1.66E+12,41782186209
14/03/2025,81098.90052,1.61E+12,32583592655
15/03/2025,83971.70916,1.67E+12,28571483950
16/03/2025,84391.69088,1.67E+12,10761796127
17/03/2025,82610.6175,1.64E+12,21638031633
18/03/2025,84075.3656,1.67E+12,19659366247
19/03/2025,82780.03049,1.64E+12,24557570269
20/03/2025,86815.44109,1.72E+12,33871216993
21/03/2025,84270.84359,1.67E+12,27579127651
22/03/2025,84009.53292,1.67E+12,18091004976
23/03/2025,83793.30854,1.66E+12,7771134682
24/03/2025,85787.70915,1.70E+12,12617587531
25/03/2025,87327.7297,1.73E+12,27270889835
26/03/2025,87520.58392,1.74E+12,30351832943
27/03/2025,86960.85555,1.72E+12,25522877559
28/03/2025,87227.27158,1.73E+12,24620445368
29/03/2025,84359.46916,1.67E+12,31674486232
30/03/2025,82679.17255,1.64E+12,16837439420
31/03/2025,82356.38111,1.63E+12,13428975108
01/04/2025,82514.09365,1.64E+12,30326148750
02/04/2025,85237.58761,1.69E+12,29172899852
03/04/2025,82526.42215,1.64E+12,46332905658
04/04/2025,83163.98757,1.65E+12,36594464539
05/04/2025,83852.00765,1.66E+12,35647289400
06/04/2025,83595.8855,1.66E+12,14910400036
07/04/2025,78211.48358,1.56E+12,36140377232
08/04/2025,79179.29227,1.58E+12,82909748173
09/04/2025,76329.09036,1.52E+12,47812787635
10/04/2025,82622.1703,1.64E+12,87408220482
11/04/2025,79596.35732,1.58E+12,41213520154
12/04/2025,83439.28818,1.66E+12,39813566444
13/04/2025,85305.09728,1.69E+12,22428929482
14/04/2025,83600.8201,1.66E+12,28731125718
15/04/2025,84523.45249,1.68E+12,33155578229
16/04/2025,83656.49249,1.66E+12,25084671428
17/04/2025,84105.77942,1.67E+12,26948109142
